"","HS.Type","year_new","total_new"
"1","private","2010",46
"2","public","2010",54
"3","private","2011",42
"4","public","2011",57
"5","private","2012",56
"6","public","2012",44
"7","private","2013",45
"8","public","2013",55
"9","private","2014",50
"10","public","2014",49
"11","private","2015",49
"12","public","2015",51
"13","private","2016",58
"14","public","2016",42
"15","private","2017",54
"16","public","2017",46
"17","private","2018",58
"18","public","2018",42
"19","private","2019",56
"20","public","2019",44
"21","private","2020",64
"22","public","2020",36
